origin,Cole,Will,Nick,Elliot,SAFS,SEFS,NOAA,USFS,eScience,QERM,FredHutch,UBC,SimonFraserUniv,DOD,AppliedPhysLab,OSU,USBR,IPHC
Cole,1,,,,1,,1,,,1,,1,1,,1,,,1
Will,,1,1,,1,,,,,1,,,,1,,1,1,
Nick,,1,1,,,1,,1,1,1,1,,,,,,,
Elliot,,,,1,1,,1,1,,1,,,,,,,,
SAFS,1,1,,1,,,,,,,,,,,,,,
SEFS,,,1,,,,,,,,,,,,,,,
NOAA,1,,,1,,,,,,,,,,,,,,
USFS,,,1,1,,,,,,,,,,,,,,
eScience,,,1,,,,,,,,,,,,,,,
QERM,1,1,1,1,,,,,,,,,,,,,,
FredHutch,,,1,,,,,,,,,,,,,,,
UBC,1,,,,,,,,,,,,,,,,,
SimonFraserUniv,1,,,,,,,,,,,,,,,,,
DOD,,1,,,,,,,,,,,,,,,,
AppliedPhysLab,1,,,,,,,,,,,,,,,,,
OSU,,1,,,,,,,,,,,,,,,,
USBR,,1,,,,,,,,,,,,,,,,
IPHC,1,,,,,,,,,,,,,,,,,